INF	быти_Fut	быти_Lform	мочи_Aor	мочи_Imp	мочи_Lform	мочи_Pres	начати_Aor	начати_Fut	начати_Imp	начати_Lform	почати_Aor	почати_Fut	почати_Imp	почати_Lform	стати_Aor	стати_Fut	стати_Lform	учати_Aor	учати_Fut	учати_Lform	хотѣти_Aor	хотѣти_Imp	хотѣти_Lform	хотѣти_Pres
бити	19	0	0	0	0	1	64	1	0	1	3	2	4	13	1	23	9	0	34	26	0	1	14	8
быти	0	0	0	1	3	32	12	0	0	0	4	0	0	6	0	0	0	0	4	3	0	5	3	46
воевати	0	0	0	0	2	0	30	0	0	0	7	0	0	2	0	2	1	0	4	1	0	3	0	3
глаголати	6	0	0	1	1	4	81	9	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	6
говорити	16	0	0	0	0	0	39	5	0	2	1	0	0	86	0	17	44	0	76	46	0	0	5	6
дати	3	0	0	0	2	7	0	1	0	0	0	0	0	0	0	0	1	0	2	0	4	3	19	20
держати	2	0	1	0	0	5	8	0	0	0	1	0	0	1	0	3	2	0	19	3	0	0	0	21
дѣлати	15	0	0	0	0	1	23	0	0	0	6	0	0	5	0	5	4	0	20	5	0	0	5	14
жаловати	1	0	0	0	0	0	5	1	0	0	0	2	0	2	0	0	1	0	7	1	0	0	0	31
жити	12	0	1	0	0	4	15	0	0	0	0	4	0	5	0	4	4	0	145	7	1	0	4	16
имѣти	24	0	0	0	8	4	5	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	20
искати	124	0	0	0	0	1	7	1	0	0	0	0	0	0	1	0	2	0	7	0	0	0	0	2
итти	11	1	1	1	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	17	21	67
писати	39	0	0	0	0	1	6	0	0	0	2	0	0	1	0	16	2	1	20	2	0	0	7	5
послати	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	33	22
посылати	5	1	0	0	0	0	20	0	0	0	0	0	0	4	0	3	0	0	18	3	0	0	2	2
просити	3	0	0	0	0	0	12	1	0	0	4	0	0	1	0	13	7	0	24	9	0	0	0	1
пѣти	1	0	0	0	0	1	35	17	1	1	0	2	0	0	1	1	2	0	2	0	0	0	0	0
служити	6	0	0	0	1	4	5	1	0	0	0	0	0	2	0	7	1	0	17	2	0	1	3	27
сотворити	0	0	6	1	3	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	5	14
стояти	16	0	0	5	2	8	0	0	0	0	0	0	0	0	0	3	3	0	1	1	0	0	1	18
творити	13	0	0	0	0	3	22	1	0	0	2	0	0	0	0	4	0	0	4	1	0	0	1	4
учинити	4	1	1	1	3	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	17	20
