Location	Coarse	Coarse.1stMention	Region	Region2	Decade	Freq	N	E
Чатем, Нью-Джерси. IN: США	Чатем, Нью-Джерси	Чатем, Нью-Джерси	США	Америка	1931	1	40.7397531	-74.398949
Нью-Йорк	Нью-Йорк	Нью-Йорк	США	Америка	1921	4	40.6976684	-74.2605646
Нью-Йорк	Нью-Йорк	Нью-Йорк	США	Америка	1941	1	40.6976684	-74.2605646
Кармел, штат Нью-Йорк	Кармел, штат Нью-Йорк	Кармел, штат Нью-Йорк	США	Америка	1951	1	41.385	-73.729444
Козуэй (Дорога гигантов)	Козуэй (Дорога гигантов)	Козуэй (Дорога гигантов)	Ирландия	Западная Европа	1921	1	55.240833	-6.511667
Севилья	Севилья	Севилья	Испания	Средиземноморье	1891	7	37.383333	-5.983333
Холивуд, Северная Ирландия	Холивуд, Северная Ирландия	Холивуд, Северная Ирландия	Великобритания	Западная Европа	1921	2	54.6246	-5.7901
Абер-Врах. Финистер	Абер-Врах. Финистер	Абер-Врах	Франция	Западная Европа	1911	1	48.5977251	-4.5728532
Кемпер	Кемпер	Кемпер	Франция	Западная Европа	1901	1	47.996667	-4.096389
Эдинбург	Эдинбург	Эдинбург	Великобритания	Западная Европа	1911	6	55.95	-3.198889
Сен-Жан-де-Люз	Сен-Жан-де-Люз	Сен-Жан-де-Люз	Франция	Западная Европа	1901	1	43.390833	-1.658333
Биарриц	Биарриц	Биарриц	Франция	Западная Европа	1851	1	43.485604	-1.555354
Биарриц	Биарриц	Биарриц	Франция	Западная Европа	1891	1	43.485604	-1.555354
Биарриц	Биарриц	Биарриц	Франция	Западная Европа	1911	6	43.485604	-1.555354
Капбретон	Капбретон	Капбретон	Великобритания	Западная Европа	1921	1	43.64305	-1.43111
Оксфорд	Оксфорд	Оксфорд	Великобритания	Западная Европа	1891	1	51.751944	-1.257778
Лондон	Лондон	Лондон	Великобритания	Западная Европа	1931	3	51.507222	-0.1275
Стрэнд	Стрэнд	Стрэнд	Великобритания	Западная Европа	1911	2	51.511389	-0.118889
Амбуаз	Амбуаз	Амбуаз	Франция	Западная Европа	1921	1	47.404167	0.98
Андорра	Андорра	Андорра	Франция	Западная Европа	1901	1	42.558333	1.555278
Шато-де-Гресси	Шато-де-Гресси	Шато-де-Гресси	Франция	Западная Европа	1921	1	48.966019	2.1032119
Шавиль	Шавиль	Шавиль	Франция	Западная Европа	1921	3	48.8090676	2.173397
Медон	Медон	Медон	Франция	Западная Европа	1901	1	48.8075	2.240278
Медон	Медон	Медон	Франция	Западная Европа	1921	4	48.8075	2.240278
Theatre des Ambassadeures. IN: Париж	Париж	Париж	Франция	Западная Европа	1921	1	48.833333	2.333333
Булонский лес. IN: Париж	Париж	Париж	Франция	Западная Европа	1901	1	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1811	1	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1831	1	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1871	1	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1881	1	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1891	2	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1901	33	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1911	34	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1921	38	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1931	6	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1851	2	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1901	13	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1911	23	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1921	44	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1931	40	48.833333	2.333333
