WordNo,Translation,AgeOfAcq,CumulOtherWords,WordCategory,BroadCategory,FreqCorpus,ParentFreq
'au','ouch',16,40,sound effects,nominals,4366,7
'bææ','baa baa',15,40,sound effects,nominals,18,5
'brrr (bil-lyd)','vroom',13,20,sound effects,nominals,NA,20
'gakk gakk','quack quack',17,40,sound effects,nominals,16,3
'grr','grr',22,220,sound effects,nominals,78,1
'kykeliky','cock-a-doodle-doo',22,220,sound effects,nominals,8,2
'mjau','meow',17,60,sound effects,nominals,214,7
'møø','moo',15,40,sound effects,nominals,8,7
'nam - nam','yum yum',13,40,sound effects,nominals,35,19
'oi (uttrykk for overraskelse)','oh',20,80,sound effects,nominals,5019,437
'tøff-tøff','choo choo',23,220,sound effects,nominals,5,3
'voff voff','woof woof',15,40,sound effects,nominals,10,52
'(meite)mark','(earth)worm',28,460,common nouns,nominals,NA,NA
'ei and','duck',24,240,common nouns,nominals,354716,4
'en ape','monkey',22,200,common nouns,nominals,1535,2
'en bjørn','bear',23,240,common nouns,nominals,9156,9
'et dyr','animal',25,340,common nouns,nominals,78524,29
'et ekorn','squirrel',25,380,common nouns,nominals,982,7
'en elefant','elephant',22,200,common nouns,nominals,3344,8
'en elg','moose',28,520,common nouns,nominals,6162,5
'et esel','donkey',32,560,common nouns,nominals,1292,9
'en fisk','fish',20,120,common nouns,nominals,73111,11
'ei flue','fly',23,240,common nouns,nominals,5154,3
'en frosk','frog',24,280,common nouns,nominals,2759,4
'en fugl','bird',22,160,common nouns,nominals,40740,40
'ei gås','goose',36,660,common nouns,nominals,1491,2
'en gris','pig',20,100,common nouns,nominals,7868,45
'en hane','rooster',25,440,common nouns,nominals,1508,1
'en hest','horse',19,100,common nouns,nominals,87784,39
'ei høne','hen',24,280,common nouns,nominals,4401,5
'en hund','dog',20,100,common nouns,nominals,166676,35
'en kanin','bunny',22,180,common nouns,nominals,10421,9
'en katt','cat',19,80,common nouns,nominals,41391,24
'en kattunge',kitten',31,560,common nouns,nominals,6890,1
'en krokodille','crocodile',24,280,common nouns,nominals,1190,15
'ei ku','cow',20,120,common nouns,nominals,10848,10
'en kylling','chicken',25,380,common nouns,nominals,7512,6
'et lam','lamb',25,340,common nouns,nominals,3076,7
'(leke)bamse','teddybear',19,120,common nouns,nominals,3542,1
'en løve','lion',22,200,common nouns,nominals,3977,9
'en maur','ant',27,480,common nouns,nominals,1742,1
'ei mus','mouse',21,140,common nouns,nominals,12268,20
'en mygg','mosquito',32,620,common nouns,nominals,3365,1
'en pingvin','penguin',27,480,common nouns,nominals,1297,2
'en ponni','pony',35,680,common nouns,nominals,4337,1
'et reinsdyr','reindeer',36,660,common nouns,nominals,1317,3
'en sau','sheep',22,160,common nouns,nominals,10218,15
'en sebra','zebra',26,440,common nouns,nominals,448,1
'en sjiraff','giraffe',23,240,common nouns,nominals,291,3
'ei skilpadde','turtle',26,440,common nouns,nominals,1353,4
'en sommerfugl','butterfly',25,320,common nouns,nominals,2715,3
'en tiger','tiger',24,260,common nouns,nominals,3190,11
'ei ugle','owl',25,300,common nouns,nominals,2374,2
'en ulv','wolf',28,480,common nouns,nominals,14204,27
'en valp','puppy',34,660,common nouns,nominals,26852,2
'en veps','wasp',26,380,common nouns,nominals,1086,1
'et akebrett','sled',25,420,common nouns,nominals,351,3
'ei barnevogn','stroller',23,180,common nouns,nominals,1828,1
'en bil','car',18,60,common nouns,nominals,186357,96
'en brannbil','firetruck',24,300,common nouns,nominals,740,3
'en båt','boat',20,140,common nouns,nominals,79071,31
'en buss','bus',20,100,common nouns,nominals,34459,32
'et fly','airplane',19,100,common nouns,nominals,55541,42
'et helikopter','helicopter',24,320,common nouns,nominals,8329,2
'en lastebil','truck',23,240,common nouns,nominals,5854,4
'en motorsykkel','motorcycle',25,320,common nouns,nominals,4282,16
'en sykkel','bicycle',22,160,common nouns,nominals,22334,18
'et tog','train',20,140,common nouns,nominals,24356,18
'en traktor','tractor',20,160,common nouns,nominals,3479,24
'en trehjulssykkel','tricycle',31,620,common nouns,nominals,104,7
'en ball','ball',16,40,common nouns,nominals,96368,74
'en ballong','balloon',20,140,common nouns,nominals,2903,7
'en blyant','pencil',26,380,common nouns,nominals,1822,5
'ei bok','book',18,80,common nouns,nominals,252996,167
'klosser','blocks',23,300,common nouns,nominals,1217,21
'ei dukke','doll',20,120,common nouns,nominals,6522,36
'lego','lego',25,320,common nouns,nominals,336,3
'eventyr','fairytale',28,560,common nouns,nominals,16232,2
'fargeblyant','crayon',31,580,common nouns,nominals,119,2
'en presang','present',25,380,common nouns,nominals,900,7
'et kritt','chalk',NA,660,common nouns,nominals,550,1
'en leke','toy',22,160,common nouns,nominals,11744,69
'lim','glue',28,520,common nouns,nominals,3616,6
'en penn','pen',26,480,common nouns,nominals,6184,3
'plastilina','plasticine',35,680,common nouns,nominals,69,1
'et puslespill','puzzle',24,340,common nouns,nominals,1543,7
'et spill','game',25,320,common nouns,nominals,127043,1
'ei såpeboble','soap bubbles',25,420,common nouns,nominals,248,18
'ei brødskive','slice (of bread)',21,180,common nouns,nominals,3034,2
'en agurk','cucumber',23,240,common nouns,nominals,1908,1
'en appelsin','orange',21,160,common nouns,nominals,2869,5
'en banan','banana',17,60,common nouns,nominals,4673,17
'bolle','buns',20,120,common nouns,nominals,NA,NA
'en bønne','beans',NA,NA,common nouns,nominals,3285,1
'et brød','bread',20,140,common nouns,nominals,13129,11
'brus','soda/pop',23,220,common nouns,nominals,5503,2
'cola','coke',28,520,common nouns,nominals,3232,1
'corn flakes','cornflakes',34,680,common nouns,nominals,233,1
'dessert','dessert',28,500,common nouns,nominals,4248,3
'en drue',grapes',21,180,common nouns,nominals,3611,1
'et egg','egg',20,120,common nouns,nominals,25973,16
'et eple','apple',18,80,common nouns,nominals,8413,27
'en ert','peas',29,560,common nouns,nominals,2466,1
'fisk','fish',20,140,common nouns,nominals,73111,11
'frokostblanding','cereal',NA,NA,common nouns,nominals,686,1
'frukt','fruits',25,320,common nouns,nominals,22242,1
'godteri','candy',25,340,common nouns,nominals,4832,3
'grøt','porridge',22,220,common nouns,nominals,2799,8
'ei gulrot','carrot',22,240,common nouns,nominals,4599,4
'en hamburger','hamburger',30,580,common nouns,nominals,1606,1
'is','ice cream',17,60,common nouns,nominals,180159,11
'et jordbær','strawberry',23,320,common nouns,nominals,3565,3
'juice','juice',20,140,common nouns,nominals,2818,3
'kaffe','coffee',22,240,common nouns,nominals,27804,12
