index,sent,ref_anim,ref_case,distance(clauses),conflict,num,word,tag,features,head,pron_func,pron_case,inf_str,corpus,comments
0,# text = Ty však mnohé zákazníky odrazovaly.,i,4,1,,1,Ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,5,nsubj,1,,PDT,
1,"# text = Byli jsme nuceni zanedbat zdan?ní p?íjm? z nájemného, které by tvo?ilo sou?ást základu dan? z p?íjm? pana Kouby, a ten neznáme.",i,2,,,22,ten,PDIS4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing|PronType=Dem,23,obj,4,,PDT,
2,"# text = Z?stane mu navíc nemovitost a ta i za situace, kdy to vypadá, že ceny realit budou v nejbližších letech spíše klesat, je p?eci jen v?tší jistotou než infla?ní peníze.",i,1,1,,6,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,29,nsubj,1,,PDT,
3,"# text = Ty si musíme vyd?lat p?edevším tím, že vybereme schopné na odpovídající místa a jejich výkon nás bude držet a stimulovat v evropské úrovni.",i,4,,,1,Ty,PDIP4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur|PronType=Dem,4,obj,4,,PDT,
4,"# text = Ti uvažují o výstavb? vlastních kotelen, zejména plynových.",a,4,2,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
5,"# text = Ta musí o své místo na severoamerickém trhu vedle americké, japonské a další konkurence tvrd? bojovat, snažit se o co nejvyšší efektivnost a kvalitu p?i p?ijatelných cenách.",i,7,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
6,"# text = Náš ?lánek jsme zam??ili na hlavní ?innost v?tšiny cestovních kancelá?í, a tou je organizování pobyt? a zájezd?.",i,4,,,13,tou,PDFS7----------,Case=Ins|Gender=Fem|Number=Sing|PronType=Dem,4,conj,7,,PDT,
7,# text = Ty kone?ným zákazník?m neprodávají a jejich klientelu tvo?í jen cestovní kancelá?e.,i,1,1,,1,Ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,4,nsubj,1,,PDT,
8,"# text = Ty mají pak n?kdy takovou publicitu, že to doty?nou kancelá? prakticky zlikviduje.",i,1,1,,1,Ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
9,"# text = A ta už složí na hromádku dva, t?i i více tisíc bod?, a tam ten rozptyl nemusí být drobením.",i,1,1,,2,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
10,"# text = Ten p?ece bude mít eminentní zájem na tom, aby firma prosperovala.",i,3,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
11,# text = Ty mají v?tšinou do p?l karátu.,i,4,1,"4,2",1,Ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
12,# text = Spíš než jednotlivci mají zájem o investování do diamant? podniky a ty pak kupují kameny kolem karátu.,i,1,1,"1,2",12,ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,14,nsubj,1,,PDT,
13,# text = Ty tedy byly!,i,6,1,,1,Ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,3,nsubj,1,,PDT,
14,"# text = Ten výzkum koncipuje, firma ho v terénu realizuje a hlavní ?ešitel, op?t s týmem, zpracovává výsledky. -",i,4,1,"1,4",1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
15,# text = Tu možné d?sledky p?ípadu Banky Bohemia vyplašily stejn? siln? jako ve?ejnost.,i,1,,,1,Tu,PDFS4----------,Case=Acc|Gender=Fem|Number=Sing|PronType=Dem,7,obj,4,,PDT,
16,# text = Ta však v podstat? existuje.,i,1,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,5,nsubj,1,,PDT,
17,"# text = Ti snad posoudí, jak poslanec dbá o své vzd?lání ?i o sv?j zevn?jšek.",a,2,1,"1,4,2",1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,nsubj,1,,PDT,
