sentence,ref_anim,ref_case,distance(clauses),conflict,num,outcome
# text = Můžeme Evropě hodně dát a ona by měla hodně dát nám.,i,3,1,no,6,0
"# text = Oni přece vědí , a jsou proto hodni důvěry.",a,1,,no,1,0
"# text = Protože o nich on, jako specialista na Německo, nic nepíše.",a,1,1,no,4,0
"# text = Korunu všemu nasadil ministr Dlouhý tvrzením, že nebyl hodnější ten, kdo vstoupil do KSČ v r. 1963 a byl vyhozen v r. 1969 či 1970 než ten, kdo vstoupil v r. 1977 a vystoupil v r. 1989 jako on.",a,1,6,no,46,0
"# text = Ani on sám, ani další evropští, především britští a francouzští politici či diplomaté, přestože se o to snažili, nemohli nadále odolávat tlaku Hitlera a jeho generálů řešit vzniklé spory vojenskými prostředky.",a,2,4,no,2,0
"# text = O několik minut později se dostal do vyložené příležitosti i Vonášek, ale ani on dvě nuly na ukazateli skóre nevymazal.a",a,1,1,no,15,0
"# text = Na toto téma by mohl nejzasvěceněji přednášet muž, který tu seděl přede mnou, protože on už tím vším prošel, řekl rakouský tenista na tiskovce ve Flushing Meadows.",a,1,2,no,17,0
"# text = On totiž Víťa jako šéfredaktor už neměl čas na psaní, a tím se čtivost Hlasatele prudce zlepšila.",a,1,,no,1,0
"# text = To pravím, že by to řeč naši nectilo, kdyby ona proti gramatickým pravidlům s mnohými chybami po zemi se plazila a nikdá s řečnickou výmluvností se neokázala.",i,4,1,no,13,0
"# text = Pracují- li v dobrých týmech, jsou to právě oni, kdo svými nápady i životní energií postrkují vědu vpřed.",a,1,2,no,11,0
"# text = I když pocházím ze stejného klubu jako Wilander a zpočátku byl on mým idolem, herním stylem jsem naladěn na stejnou strunu se Stefanem, takže jsem od něj leccos okoukal, neupíral Edbergovi podíl na svém úspěchu Björkman, který se dosud prosazoval především v deblu (s Apellem je finalistou posledního French Open) a včerejší postup je jeho prvním grandslamovým osmifinále.",a,1,1,no,12,0
"# text = Mnozí se radši ani ptát nebudou, za co byl vězněn Říha, padla by pak otázka, za co byli odsouzeni oni sami.",a,1,1,no,23,0
"# text = ""Nejsem jedničkou proto, že ony nehrají.",i,7,1,no,7,0
"# text = Dnes zanechali vláda a vůdci většiny zemského sněmu svého odporu a uznali zásady, za které jsme my bojovali a oni potírali...",a,1,3,no,21,0
"# text = Když to zjednoduším, my bychom je zkultivovali a oni by nám dodali voliče.",a,7,4,no,10,0
"# text = Slovenský dovozce má právo předložit jí nálezy naší zkušebny a ona potom zváží, zda je uzná, nebo si vyžádá doplňkové zkoušky a vystaví pak svůj doklad.",i,1,4,no,11,0
"# text = Záleží pouze na každém konkrétním tvůrci, jestli chce ukazovat prvoplánové senzace, o kterých si on nebo někdo jiný myslí, že filmu zaručí komerční úspěch.",a,6,2,no,17,0
# text = Příslib talentu naznačil v Nabuccovi mladý Richard Hein (i on má zahraniční školení).,a,1,1,no,11,0
"# text = Však se o děti společnost postará, oni občas pošlou do ústavu pohlednici a tím projeví zájem.",a,4,1,no,8,0
"# text = Ale byl to on sám, kdo neodkladně požádal o zbavení poslanecké imunity, jakmile palermská prokuratura rozhodla v březnu 1993 zahájit proti němu předběžné vyšetřování pro podezření z ""účasti na spolčení se zločinným cílem"" a poté loni v létě přímo z příslušnosti k sicilské mafii.",a,1,2,no,4,0
# text = Ale on měl především špičkový scénář...,i,1,1,no,2,0
# text = Jedním z oslovených byl i on sám.,a,1,4,no,6,0
