ParticipantID;TypeOfQuestion;TypeOfStimuli;WordOrder;ResponseAcceptabilityJudgement;RT
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Size-Nationality;Congruent;Correct;1591
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Size-Nationality;Incongruent;Correct;5504
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Size-Nationality;Congruent;Correct;1333
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Size-Nationality;Incongruent;Correct;1543
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Size-Nationality;Congruent;Correct;1815
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Size-Nationality;Incongruent;Correct;3059
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Shape-Color;Congruent;Correct;1700
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Shape-Color;Incongruent;Correct;2745
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Shape-Color;Congruent;Correct;3237
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Shape-Color;Incongruent;Correct;2911
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Shape-Color;Congruent;Correct;1878
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;Shape-Color;Incongruent;Correct;3796
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;SubjectiveComment-Material;Congruent;Wrong;1168
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;SubjectiveComment-Material;Incongruent;Correct;2429
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;SubjectiveComment-Material;Congruent;Correct;2189
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;SubjectiveComment-Material;Incongruent;Neither;3171
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;SubjectiveComment-Material;Congruent;Correct;1404
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;SubjectiveComment-Material;Incongruent;Correct;2698
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerAcceptable;NA;Correct;1135
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerAcceptable;NA;Correct;1008
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerAcceptable;NA;Correct;2078
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerAcceptable;NA;Correct;1256
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerAcceptable;NA;Correct;3722
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerAcceptable;NA;Correct;2063
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerAcceptable;NA;Correct;1351
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerAcceptable;NA;Correct;2081
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerAcceptable;NA;Correct;1182
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1398
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1396
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1380
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1442
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Correct;1536
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1597
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1102
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1178
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Correct;1769
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1394
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1231
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;835
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1434
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1937
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;2472
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1885
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1259
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;2154
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1891
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1427
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;2919
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;4255
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1829
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1580
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1389
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;2167
00e0b159cf5b9abcc73b92506d8b1c38;AcceptabilityJudgement;FillerUnacceptable;NA;Wrong;1167
021a49cde484f8fa18439f026ec99459;AcceptabilityJudgement;Size-Nationality;Congruent;Correct;1578
021a49cde484f8fa18439f026ec99459;AcceptabilityJudgement;Size-Nationality;Incongruent;Correct;1719
021a49cde484f8fa18439f026ec99459;AcceptabilityJudgement;Size-Nationality;Congruent;Correct;2998
021a49cde484f8fa18439f026ec99459;AcceptabilityJudgement;Size-Nationality;Incongruent;Correct;2359
021a49cde484f8fa18439f026ec99459;AcceptabilityJudgement;Size-Nationality;Congruent;Correct;1206
021a49cde484f8fa18439f026ec99459;AcceptabilityJudgement;Size-Nationality;Incongruent;Correct;1239
021a49cde484f8fa18439f026ec99459;AcceptabilityJudgement;Shape-Color;Congruent;Correct;1433
021a49cde484f8fa18439f026ec99459;AcceptabilityJudgement;Shape-Color;Incongruent;Correct;1942
021a49cde484f8fa18439f026ec99459;AcceptabilityJudgement;Shape-Color;Congruent;Correct;1831
021a49cde484f8fa18439f026ec99459;AcceptabilityJudgement;Shape-Color;Incongruent;Correct;1641
