ParticipantID;TypeOfQuestion;QuestionCategory;Responce
2bc93481d25426f259a0f1a3d5d3e824;Form;age;58
2bc93481d25426f259a0f1a3d5d3e824;Form;country1;Nicosia
2bc93481d25426f259a0f1a3d5d3e824;Form;country2;Kaimakli,Nicosia
2bc93481d25426f259a0f1a3d5d3e824;Form;education;College
2bc93481d25426f259a0f1a3d5d3e824;Form;handedness;right
2bc93481d25426f259a0f1a3d5d3e824;Form;sex;female
4b4c9debd4aedeb1fd3dfc9f1cab3b0b;Form;age;24
4b4c9debd4aedeb1fd3dfc9f1cab3b0b;Form;country1;Nicosia
4b4c9debd4aedeb1fd3dfc9f1cab3b0b;Form;country2;Nicosia
4b4c9debd4aedeb1fd3dfc9f1cab3b0b;Form;education;UniversityDegree
4b4c9debd4aedeb1fd3dfc9f1cab3b0b;Form;handedness;right
4b4c9debd4aedeb1fd3dfc9f1cab3b0b;Form;sex;male
5cfee92572d81db494f8036861d00c3d;Form;age;33
5cfee92572d81db494f8036861d00c3d;Form;country1;Nicosia
5cfee92572d81db494f8036861d00c3d;Form;country2;Nicosia
5cfee92572d81db494f8036861d00c3d;Form;education;Postgraduate
5cfee92572d81db494f8036861d00c3d;Form;handedness;right
5cfee92572d81db494f8036861d00c3d;Form;sex;female
6a0bfef2c1607be61fa9879d30514cb2;Form;age;36
6a0bfef2c1607be61fa9879d30514cb2;Form;country1;Paphos
6a0bfef2c1607be61fa9879d30514cb2;Form;country2;Nicosia
6a0bfef2c1607be61fa9879d30514cb2;Form;education;Postgraduate
6a0bfef2c1607be61fa9879d30514cb2;Form;handedness;right
6a0bfef2c1607be61fa9879d30514cb2;Form;sex;male
9c334b8c45452362a37cb790b05cff6d;Form;age;23
9c334b8c45452362a37cb790b05cff6d;Form;country1;Limassol
9c334b8c45452362a37cb790b05cff6d;Form;country2;Limassol
9c334b8c45452362a37cb790b05cff6d;Form;education;Postgraduate
9c334b8c45452362a37cb790b05cff6d;Form;handedness;right
9c334b8c45452362a37cb790b05cff6d;Form;sex;female
9eed449d848443290afdb9aca7ac7b21;Form;age;27
9eed449d848443290afdb9aca7ac7b21;Form;country1;Limassol,Cyprus
9eed449d848443290afdb9aca7ac7b21;Form;country2;Limassol
9eed449d848443290afdb9aca7ac7b21;Form;education;UniversityDegree
9eed449d848443290afdb9aca7ac7b21;Form;handedness;right
9eed449d848443290afdb9aca7ac7b21;Form;sex;female
21dd0d72f74143f083e08841080c40c9;Form;age;46
21dd0d72f74143f083e08841080c40c9;Form;country1;Nicosia
21dd0d72f74143f083e08841080c40c9;Form;country2;Moscow
21dd0d72f74143f083e08841080c40c9;Form;education;Postgraduate
21dd0d72f74143f083e08841080c40c9;Form;handedness;right
21dd0d72f74143f083e08841080c40c9;Form;sex;male
25c1b946d47b93d059a2232013c51780;Form;age;34
25c1b946d47b93d059a2232013c51780;Form;country1;Limassol
25c1b946d47b93d059a2232013c51780;Form;country2;Limassol
25c1b946d47b93d059a2232013c51780;Form;education;UniversityDegree
25c1b946d47b93d059a2232013c51780;Form;handedness;right
25c1b946d47b93d059a2232013c51780;Form;sex;male
79b886b6ef0a5213abc3cc5905b8b237;Form;age;32
79b886b6ef0a5213abc3cc5905b8b237;Form;country1;Nicosia
79b886b6ef0a5213abc3cc5905b8b237;Form;country2;Nicosia
79b886b6ef0a5213abc3cc5905b8b237;Form;education;Postgraduate
79b886b6ef0a5213abc3cc5905b8b237;Form;handedness;right
79b886b6ef0a5213abc3cc5905b8b237;Form;sex;female
85b0e3c5d7dcaf0e1faa81dfe283b826;Form;age;24
85b0e3c5d7dcaf0e1faa81dfe283b826;Form;country1;Nicosia
85b0e3c5d7dcaf0e1faa81dfe283b826;Form;country2;Nicosia
85b0e3c5d7dcaf0e1faa81dfe283b826;Form;education;UniversityDegree
85b0e3c5d7dcaf0e1faa81dfe283b826;Form;handedness;right
85b0e3c5d7dcaf0e1faa81dfe283b826;Form;sex;male
0118ad6bcd31f187154c2ed1344cd57b;Form;age;28
0118ad6bcd31f187154c2ed1344cd57b;Form;country1;Larnaca
0118ad6bcd31f187154c2ed1344cd57b;Form;country2;Paphos
0118ad6bcd31f187154c2ed1344cd57b;Form;education;Postgraduate
0118ad6bcd31f187154c2ed1344cd57b;Form;handedness;right
0118ad6bcd31f187154c2ed1344cd57b;Form;sex;male
492e07754c9ad10c86222a33da47dc8b;Form;age;28
492e07754c9ad10c86222a33da47dc8b;Form;country1;Cyprus
492e07754c9ad10c86222a33da47dc8b;Form;country2;Cyprus
492e07754c9ad10c86222a33da47dc8b;Form;education;UniversityDegree
492e07754c9ad10c86222a33da47dc8b;Form;handedness;right
492e07754c9ad10c86222a33da47dc8b;Form;sex;female
607ba9a52e718bc60069c8fee9335b1f;Form;age;31
607ba9a52e718bc60069c8fee9335b1f;Form;country1;1986
607ba9a52e718bc60069c8fee9335b1f;Form;country2;Paphos,Cyprus
607ba9a52e718bc60069c8fee9335b1f;Form;education;UniversityDegree
607ba9a52e718bc60069c8fee9335b1f;Form;handedness;right
607ba9a52e718bc60069c8fee9335b1f;Form;sex;male
853a6abae4c2f81889073dbf90c5c57b;Form;age;19
853a6abae4c2f81889073dbf90c5c57b;Form;country1;Nicosia
853a6abae4c2f81889073dbf90c5c57b;Form;country2;Nicosia
853a6abae4c2f81889073dbf90c5c57b;Form;education;UniversityDegree
853a6abae4c2f81889073dbf90c5c57b;Form;handedness;right
853a6abae4c2f81889073dbf90c5c57b;Form;sex;female
944d59c9102fd8ce1d8172f9f4f784c1;Form;age;21
944d59c9102fd8ce1d8172f9f4f784c1;Form;country1;Limassol,Cyprus
944d59c9102fd8ce1d8172f9f4f784c1;Form;country2;Limassol,Cyprus
944d59c9102fd8ce1d8172f9f4f784c1;Form;education;College
944d59c9102fd8ce1d8172f9f4f784c1;Form;handedness;right
944d59c9102fd8ce1d8172f9f4f784c1;Form;sex;female
09251c0cb8fa8808513ba5beb497f569;Form;age;20
09251c0cb8fa8808513ba5beb497f569;Form;country1;Nicosia
09251c0cb8fa8808513ba5beb497f569;Form;country2;Nicosia
09251c0cb8fa8808513ba5beb497f569;Form;education;UniversityDegree
09251c0cb8fa8808513ba5beb497f569;Form;handedness;right
09251c0cb8fa8808513ba5beb497f569;Form;sex;female
9542bc1c6a746283f1f7d9b1ee824a76;Form;age;29
9542bc1c6a746283f1f7d9b1ee824a76;Form;country1;Limassol
9542bc1c6a746283f1f7d9b1ee824a76;Form;country2;Limassol
9542bc1c6a746283f1f7d9b1ee824a76;Form;education;Postgraduate
9542bc1c6a746283f1f7d9b1ee824a76;Form;handedness;right
9542bc1c6a746283f1f7d9b1ee824a76;Form;sex;female
10641e1b505dda0cb82be1a8e1637c37;Form;age;29
10641e1b505dda0cb82be1a8e1637c37;Form;country1;Nicosia,Cyprus
10641e1b505dda0cb82be1a8e1637c37;Form;country2;Nicosia,Cyprus
10641e1b505dda0cb82be1a8e1637c37;Form;education;Postgraduate
10641e1b505dda0cb82be1a8e1637c37;Form;handedness;right
