Adjective,Base_verb,Demotivation,Last_consonant,Theme_vowel,Allomorphy,Meaning,Possible_nominal_base
abdicativo,abdicar,N,t,yes,R,A,N
ablandativo,ablandar,N,t,yes,R,A,N
abortivo,abortar,N,t,no,I,A,ABORTO
abstractivo,abstraer,N,t,no,I,A,N
acreditativo,acreditar,N,t,yes,R,A,N
administrativo,administrar,N,t,yes,R,A,N
admirativo,admirar,N,t,yes,R,A,N
adoptivo,adoptar,N,t,no,I,P,N
adquisitivo,adquirir,N,t,no,I,A,N
afirmativo,afirmar,N,t,yes,R,A,N
aflictivo,afligir,N,t,no,I,A,N
agregativo,agregar,N,t,yes,R,A,N
ahorrativo,ahorrar,N,t,yes,R,A,N
alterativo,alterar,N,t,yes,R,A,N
alternativo,alternar,N,t,yes,R,P,N
amativo,amar,N,t,yes,R,A,N
ambulativo,ambular,N,t,yes,R,A,N
ampliativo,ampliar,N,t,yes,R,A,N
amplificativo,amplificar,N,t,yes,R,A,N
anulativo,anular,N,t,yes,R,A,N
apelativo,apelar,Y,t,yes,R,A,N
aplicativo,aplicar,N,t,yes,R,A,N
apreciativo,apreciar,N,t,yes,R,A,N
apretativo,apretar,N,t,yes,R,A,N
aprobativo,aprobar,N,t,yes,R,A,N
aproximativo,aproximar(se),N,t,yes,R,A,N
apurativo,apurar,N,t,yes,R,A,N
argumentativo,argumentar,N,t,yes,R,A,N
aseverativo,aseverar,N,t,yes,R,A,N
asimilativo,asimilar,N,t,yes,R,A,N
asociativo,asociar,N,t,yes,R,A,N
atractivo,atraer,N,t,no,I,A,N
atributivo,atribuir,Y,t,no,R,A,ATRIBUTO
aumentativo,aumentar,N,t,yes,R,A,N
bonificativo,bonificar,N,t,yes,R,A,N
calificativo,calificar,N,t,yes,R,A,N
causativo,causar,N,t,yes,R,A,N
chupativo,chupar,N,t,yes,R,A,N
cicatrizativo,cicatrizar,N,t,yes,R,A,N
clarificativo,clarificar,N,t,yes,R,A,N
colorativo,colorar,N,t,yes,R,A,N
comparativo,comparar,N,t,yes,R,A,N
compensativo,compensar,N,t,yes,R,A,N
completivo,completar,N,t,no,R,A,COMPLETO
compositivo,componer,N,t,no,I,A,N
comunicativo,comunicar,N,t,yes,R,A,N
conciliativo,conciliar,N,t,yes,R,A,N
concitativo,concitar,N,t,yes,R,A,N
concordativo,concordar,N,t,yes,R,A,N
condensativo,condensar,N,t,yes,R,A,N
conductivo,conducir,N,t,no,I,A,N
conectivo,conectar,N,t,no,R,A,N
confederativo,confederar,N,t,yes,R,A,N
confirmativo,confirmar,N,t,yes,R,A,N
confortativo,confortar,N,t,yes,R,A,N
congelativo,congelar,N,t,yes,R,A,N
conmemorativo,conmemorar,N,t,yes,R,A,N
conmesurativo,conmesurar,N,t,yes,R,A,N
conminativo,conminar,N,t,yes,R,A,N
conmutativo,conmutar,N,t,yes,R,P,N
connotativo,connotar,N,t,yes,R,A,N
conservativo,conservar,N,t,yes,R,A,N
considerativo,considerar,N,t,yes,R,A,N
consignativo,consignar,N,t,yes,R,A,N
consolativo,consolar,N,t,yes,R,A,N
consolidativo,consolidar,N,t,yes,R,A,N
constipativo,constipar,N,t,yes,R,A,N
constitutivo,constituir,N,t,no,R,A,N
constrictivo,constre–ir,N,t,no,I,A,N
constructivo,construir,N,t,no,I,A,N
consultivo,consultar,N,t,no,R,N,N
consumativo,consumar,N,t,yes,R,A,N
consumitivo,consumir,N,t,yes,R,A,N
contemplativo,contemplar,N,t,yes,R,A,N
contentivo,contentar,N,t,no,R,A,CONTENTO
continuativo,continuar,N,t,yes,R,A,N
contractivo,contraer,N,t,no,I,A,N
contributivo,contribuir,N,t,no,R,A,N
conturbativo,conturbar,N,t,yes,R,A,N
cooperativo,cooperar,N,t,yes,R,A,N
coordinativo,coordinar,N,t,yes,R,A,N
copulativo,copular,Y,t,yes,R,A,N
correctivo,corregir,N,t,no,I,A,CORRECTO
corroborativo,corroborar,N,t,yes,R,A,N
corruptivo,corromper,N,t,no,I,A,N
creativo,crear,N,t,yes,R,A,N
curativo,curar,N,t,yes,R,A,N
dativo,dar,Y,t,yes,R,N,N
declarativo,declarar,N,t,yes,R,A,N
decorativo,decorar,N,t,yes,R,A,N
dedicativo,dedicar,N,t,yes,R,A,N
deductivo,deducir,N,t,no,I,A,N
definitivo,definir,Y,t,yes,R,A,N
degenerativo,degenerar,N,t,yes,R,P,N
dejativo,dejar,N,t,yes,R,N,N
deliberativo,deliberar,N,t,yes,R,A,N
demostrativo,demostrar,N,t,yes,R,A,N
denigrativo,denigrar,N,t,yes,R,A,N
denominativo,denominar,N,t,yes,R,A,N
denotativo,denotar,N,t,yes,R,A,N
depurativo,depurar,N,t,yes,R,A,N
derivativo,derivar,N,t,yes,R,A,N
descriptivo,describir,N,t,no,I,A,N
desecativo,desecar,N,t,yes,R,A,N
designativo,designar,N,t,yes,R,A,N
despreciativo,despreciar,N,t,yes,R,A,N
destructivo,destruir,N,t,no,I,A,N
determinativo,determinar,N,t,yes,R,A,N
devolutivo,devolver,N,t,no,I,A,N
digestivo,digerir,N,t,no,I,A,N
dilatativo,dilatar,N,t,yes,R,A,N
directivo,dirigir,N,t,no,I,A,DIRECTO
disgregativo,disgregar,N,t,yes,R,A,N
disolutivo,disolver,N,t,no,I,A,N
dispensativo,dispensar,N,t,yes,R,A,N
dispositivo,disponer,Y,t,no,I,N,N
distintivo,distinguir,N,t,no,I,A,DISTINTO
distributivo,distribuir,N,t,no,R,A,N
dominativo,dominar,N,t,yes,R,A,N
donativo,donar,N,t,yes,R,P,N
dormitivo,dormir,N,t,yes,R,A,N
duplicativo,duplicar,N,t,yes,R,A,N
durativo,durar,Y,t,yes,R,A,N
edificativo,edificar,N,t,yes,R,A,N
educativo,educar,N,t,yes,R,A,N
efectivo,efectuar,Y,t,no,I,N,EFECTO
ejecutivo,ejecutar,N,t,no,R,A,N
ejercitativo,ejercitar,N,t,yes,R,A,N
electivo,elegir,N,t,no,I,P,ELECTO
encarnativo,encarnar,N,t,yes,R,A,N
enumerativo,enumerar,N,t,yes,R,A,N
enunciativo,enunciar,N,t,yes,R,A,N
erradicativo,erradicar,N,t,yes,R,A,N
escandalizativo,escandalizar,N,t,yes,R,A,N
especificativo,especificar,N,t,yes,R,A,N
especulativo,especular,N,t,yes,R,A,N
espesativo,espesar,N,t,yes,R,A,N
espirativo,espirar,N,t,yes,R,A,N
evacuativo,evacuar,N,t,yes,R,A,N
exagerativo,exagerar,N,t,yes,R,A,N
