ID	Topics
1	"фонетика и интонация", "история языка", "компаративистика", "филогенетика", "экспериментальная лингвистика", "анализ данных в гуманитарных науках"
2	"грамматика и семантика", "социолингвистика"
3	"грамматика и семантика", "социолингвистика", "история языка", "компаративистика", "филогенетика", "экспериментальная лингвистика"
4	"фонетика и интонация", "экспериментальная лингвистика", "анализ данных в гуманитарных науках"
5	"фонетика и интонация", "грамматика и семантика", "социолингвистика", "анализ данных в гуманитарных науках"
6	"грамматика и семантика", "социолингвистика", "экспериментальная лингвистика"
7	"фонетика и интонация", "экспериментальная лингвистика"
8	
9	"социолингвистика", "анализ данных в гуманитарных науках"
10	"анализ данных в гуманитарных науках"
11	"грамматика и семантика", "экспериментальная лингвистика"
12	"фонетика и интонация", "социолингвистика", "экспериментальная лингвистика"
13	"экспериментальная лингвистика", "анализ данных в гуманитарных науках"
14	"фонетика и интонация", "социолингвистика", "экспериментальная лингвистика"
15	"фонетика и интонация", "грамматика и семантика", "экспериментальная лингвистика"
16	"грамматика и семантика", "история языка", "компаративистика", "филогенетика", "корпусная лингвистика"
17	"грамматика и семантика", "экспериментальная лингвистика"
18	"социолингвистика", "экспериментальная лингвистика", "анализ данных в гуманитарных науках"
19	"социолингвистика", "история языка", "компаративистика", "филогенетика", "экспериментальная лингвистика"
20	"социолингвистика", "лингвогеография", "экспериментальная лингвистика"
21	"грамматика и семантика", "экспериментальная лингвистика", "анализ данных в гуманитарных науках"
