ID	Year	Topics
1	2024	"грамматика и семантика", "лингвогеография", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
2	2024	"фонетика и интонация", "грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
3	2024	"фонетика и интонация", "социолингвистика", "история языка", "компаративистика", "филогенетика"
4	2024	"фонетика и интонация", "грамматика и семантика", "социолингвистика", "лингвогеография", "история языка", "компаративистика", "филогенетика"
5	2024	"история языка", "компаративистика", "филогенетика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
6	2024	"фонетика и интонация", "грамматика и семантика", "социолингвистика"
7	2024	"грамматика и семантика", "социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
8	2024	"социолингвистика", "лингвогеография", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
9	2024	"грамматика и семантика", "история языка", "компаративистика", "филогенетика", "анализ данных в литературоведении", "истории и других гуманитарных науках"
10	2024	"социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
11	2024	"грамматика и семантика", "социолингвистика"
12	2024	"грамматика и семантика", "социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
13	2024	"фонетика и интонация", "грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
14	2024	"фонетика и интонация", "грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
15	2024	"фонетика и интонация", "грамматика и семантика", "социолингвистика"
16	2024	"грамматика и семантика", "социолингвистика", "лингвогеография", "история языка", "компаративистика", "филогенетика", "анализ данных в литературоведении", "истории и других гуманитарных науках"
17	2024	"грамматика и семантика"
18	2024	"грамматика и семантика", "история языка", "компаративистика", "филогенетика"
19	2024	"грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
20	2025	"фонетика и интонация", "история языка", "компаративистика", "филогенетика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
21	2025	"грамматика и семантика", "социолингвистика"
22	2025	"грамматика и семантика", "социолингвистика", "история языка", "компаративистика", "филогенетика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
23	2025	"фонетика и интонация", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
24	2025	"фонетика и интонация", "грамматика и семантика", "социолингвистика", "анализ данных в литературоведении", "истории и других гуманитарных науках"
25	2025	"грамматика и семантика", "социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
26	2025	"фонетика и интонация", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
27	2025	"социолингвистика", "анализ данных в литературоведении", "истории и других гуманитарных науках"
28	2025	"анализ данных в литературоведении", "истории и других гуманитарных науках"
29	2025	"грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
30	2025	"фонетика и интонация", "социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
31	2025	"экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
32	2025	"фонетика и интонация", "социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
33	2025	"фонетика и интонация", "грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
34	2025	"грамматика и семантика", "история языка", "компаративистика", "филогенетика", "корпусная лингвистика"
35	2025	"грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
36	2025	"социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
37	2025	"социолингвистика", "история языка", "компаративистика", "филогенетика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
38	2025	"социолингвистика", "лингвогеография", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
39	2025	"грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
40	2026	"социолингвистика"
41	2026	"экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
42	2026	"грамматика и семантика", "история языка", "компаративистика", "филогенетика", "анализ данных в литературоведении", "истории и других гуманитарных науках"
43	2026	"социолингвистика", "история языка", "компаративистика", "филогенетика"
44	2026	"фонетика и интонация", "социолингвистика"
45	2026	"грамматика и семантика", "социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
46	2026	"экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
47	2026	"фонетика и интонация", "грамматика и семантика"
48	2026	"грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
49	2026	"социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
50	2026	"фонетика и интонация", "социолингвистика", "лингвогеография", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
51	2026	"социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
52	2026	"грамматика и семантика", "анализ данных в литературоведении", "истории и других гуманитарных науках"
