"","Individual","Form","Polarity","Sex","AgeGroup","Age","DP.Constituency","Proximate1","Proximate2","Proximate1.adj","Adjacency","Token","Following"
"1","Xe","S","Affirmative","M","20-30",17,"definite",0,3,"Adjacent","Non-Adjacent","there was"," these two other lads.  "
"2","Xe","S","Affirmative","M","20-30",17,"combo",1,3,"Non-Adjacent","Non-Adjacent","there was"," about five of them and "
"3","Xi","S","Affirmative","M","20-30",19,"numeric Q",0,0,"Adjacent","Adjacent","there was"," five or six, "
"4","Xi","S","Affirmative","M","20-30",19,"definite",0,2,"Adjacent","Non-Adjacent","there was"," these two lasses in t' back and he was riding down this old back lane, "
"5","Xi","R","Affirmative","M","20-30",19,"partitive",0,2,"Adjacent","Non-Adjacent","there were"," six of them and they were eating er - they had a three course meal,"
"6","Xi","S","Affirmative","M","20-30",19,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," was six of - I forgotten where it was though now. "
"7","Xi","S","Affirmative","M","20-30",19,"bare NP",0,0,"Adjacent","Adjacent","there was"," families, wasn 't there, just the other side."
"8","Xi","R","Affirmative","M","20-30",19,"quantifier",1,3,"Non-Adjacent","Non-Adjacent","there were"," a few good laughs, wasn 't there? Like Dobbo and that.  "
"9","Xi","R","Affirmative","M","20-30",19,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," some older lads with him and they were cheering him on to er to knock some walls down"
"10","Xi","R","Affirmative","M","20-30",19,"V",1,1,"Non-Adjacent","Non-Adjacent","there were"," more lads had been in all afternoon, but when other lads were coming, "
"11","Xi","R","Affirmative","M","20-30",19,"combo",3,3,"Non-Adjacent","Non-Adjacent","there were"," nowt but hand tools and that and there was this drill,"
"12","Xi","R","Affirmative","M","20-30",19,"combo",2,3,"Non-Adjacent","Non-Adjacent","there were"," something like four bottles of - "
"13","Xh","S","Affirmative","M","20-30",20,"definite",1,2,"Non-Adjacent","Non-Adjacent","there was"," lyke these groups of people everywhere lyke shagging away,"
"14","Xh","S","Affirmative","M","20-30",20,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," about ten of us, weren 't there? Walking by, "
"15","Xh","S","Affirmative","M","20-30",20,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," fucking loads of us!  "
"16","Xh","S","Affirmative","M","20-30",20,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," lyke hundreds of people all over t' beach, we 're like ""Oh, Jesus!""  "
"17","Xh","S","Affirmative","M","20-30",20,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," only three of them and "
"18","Yd","S","Affirmative","F","20-30",20,"all",1,3,"Non-Adjacent","Non-Adjacent","there was"," all nine of us, "
"19","Yd","S","Affirmative","F","20-30",20,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," about four of us that were going out with people as well, "
"20","Yd","S","Affirmative","F","20-30",20,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," four of us we were sharing lyke, these two rooms. "
"21","Yd","S","Affirmative","F","20-30",20,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," four of us, they were meant to be lyke, for separate people, two in one, two in the other, and "
"22","Yd","S","Affirmative","F","20-30",20,"partitive",1,4,"Non-Adjacent","Non-Adjacent","there was"," lyke nine of the girls went to the wedding as well, so it was really good fun.  "
"23","Yd","S","Affirmative","F","20-30",20,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," lyke ten of us girls, and then we met another ten lads "
"24","Yd","S","Affirmative","F","20-30",20,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," lyke three of us (inc).  "
"25","Yd","S","Affirmative","F","20-30",20,"numeric Q",1,2,"Non-Adjacent","Non-Adjacent","there was"," lyke five bars and that 's it.  "
"26","Yd","S","Affirmative","F","20-30",20,"V",2,3,"Non-Adjacent","Non-Adjacent","there was"," apparently a hundred people on the books, with staff,"
"27","Yd","S","Affirmative","F","20-30",20,"combo",2,3,"Non-Adjacent","Non-Adjacent","there was"," about you-know, four bars that everybody went into,  "
"28","YD","S","Affirmative","M","20-30",20,"partitive",1,5,"Non-Adjacent","Non-Adjacent","there was"," just loads of big sharp rocks, I was winded, that 's it, "
"29","YD","R","Affirmative","M","20-30",20,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," some famous people in there, but I wouldn 't know them, "
"30","YZ","S","Affirmative","F","20-30",22,"numeric Q",1,1,"Non-Adjacent","Non-Adjacent","there was"," lyke three - there was  lyke Naburn-Hospital,"
"31","YZ","S","Affirmative","F","20-30",22,"numeric Q",0,2,"Adjacent","Non-Adjacent","there was"," three lyke - psychiatric hospitals in York, you-know. "
"32","YZ","R","Affirmative","F","20-30",22,"bare NP",0,0,"Adjacent","Adjacent","there were"," Brubakers at yon end, at the Brewers-Arms behind Mer-- Macmillan's.  "
"33","Xg","S","Affirmative","F","20-30",23,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," just two of us in - "
"34","YW","S","Affirmative","F","20-30",23,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," lots of scuffs on them.  "
"35","YW","S","Affirmative","F","20-30",23,"numeric Q",2,2,"Non-Adjacent","Non-Adjacent","there was"," one or two that were very good at doing it, you-know, "
"36","YW","S","Affirmative","F","20-30",23,"adjectiv",6,6,"Non-Adjacent","Non-Adjacent","there was"," lyke, purple and green and yellow bruises from lyke, all these injections "
"37","YW","S","Affirmative","F","20-30",23,"bare NP",0,0,"Adjacent","Adjacent","there was"," kids in the back,"" you-see, so he was totally freaked out by that, you-know,"
"38","YW","S","Affirmative","F","20-30",23,"combo",1,3,"Non-Adjacent","Non-Adjacent","there was"," only about four blokes so they put them all in these side rooms. "
"39","YW","S","Affirmative","F","20-30",23,"combo",1,1,"Non-Adjacent","Non-Adjacent","there was"," so many. "
"40","Yy","S","Affirmative","M","20-30",23,"definite",0,2,"Adjacent","Non-Adjacent","there was"," these two lasses that used to be at school   "
"41","Yy","S","Affirmative","M","20-30",23,"partitive",2,4,"Non-Adjacent","Non-Adjacent","there was"," lyke about four of us, who really could have got an A, "
"42","Yy","S","Affirmative","M","20-30",23,"combo",2,4,"Non-Adjacent","Non-Adjacent","there was"," lyke so many different ways to- to get through D-locks you-know.  "
"43","Yy","S","Affirmative","M","20-30",23,"combo",2,4,"Non-Adjacent","Non-Adjacent","there was"," lyke, too many glass collectors so they stuck me on door you-know, "
"44","YH","S","Affirmative","M","20-30",24,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," lyke half-a-dozen of us in the class, all having violin lessons, "
"45","YH","S","Affirmative","M","20-30",24,"V",2,2,"Non-Adjacent","Non-Adjacent","there was"," more mature students doing the history part of the course, "
"46","Xs","R","Affirmative","M","20-30",24,"definite",1,1,"Non-Adjacent","Non-Adjacent","there were"," these lads and they got chased by t' coppers "
"47","Xs","S","Affirmative","M","20-30",24,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," lyke loads of cop-vans in t' - outside Art-Gallery, "
